P100 PZ PEAK DISPLAY,P100 PZ LATENCY DISPLAY,P100 CZ PEAK DISPLAY ,P100 CZ LATENCY DISPLAY,P300 CZ MEAN AMPLITUDE DISPLAY,P300 PZ MEAN AMPLITUDE DISPLAY,STRESS F3 DISPLAY,STRESS F4 DISPLAY,FATIGUE DISPLAY,LATERALIZATION DISPLAY,IMMERSION DISPLAY,P100 PZ PEAK SOLUTIONS,P100 PZ LATENCY SOLUTIONS,P100 CZ PEAK SOLUTIONS,P100 CZ LATENCY SOLUTIONS,P300 CZ MEAN AMPLITUDE SOLUTIONS,P300 PZ MEAN AMPLITUDE SOLUTIONS,STRESS F3 SOLUTIONS,STRESS F4 SOLUTIONS,FATIGUE SOLUTIONS,LATERALIZATION SOLUTIONS,IMMERSION SOLUTIONS,Type
3755.887961,108,2957.143223,100,-2336.550627,-1751.405076,2.053369846,20.18059427,0.5162481884,0.6444259778,0.2179282937,20383.83065,130,6757.177416,130,4345.637563,17664.1607,4.777611424,4.681224155,1.129265918,-0.06709049203,0.1139666432,Training
-10194.70785,110,-6936.769346,110,-7123.056949,-7120.462793,6.499851367,2.190868665,0.6498451932,-0.3640332749,0.6719381189,7671.926274,106,5745.71716,106,-1588.197227,-937.3998864,3.548568512,4.006850284,1.014884793,-0.002226472744,3.793530448,Training
-11296.26576,114,440.8521029,112,-1815.724978,3846.863173,1.511820963,1.307674531,1.389716401,0.05852670431,2.422473087,23247.93376,112,23584.85307,130,19184.97348,19838.59919,0.591320083,0.7477162536,2.376874362,0.2110988518,0.550256094,Training
7534.096314,80,11261.56723,80,6177.187866,-2569.824229,1.130613553,1.245590254,1.683874185,-0.1449034228,0.722108102,-6625.151443,86,-3026.401418,86,-6093.399977,-7417.856045,21.58326477,2.241323118,0.2892897536,-0.7687840338,7.459702663,Training
-30982.08764,78,-2901.760703,130,-12436.22035,-38583.51921,0.8604355362,0.9427897005,1.609836583,0.03502967019,0.6718556647,19016.92573,112,608.761157,86,-14013.23856,8913.057508,2.425237294,2.158712682,1.410989536,-0.05563356632,3.068661768,Training
-11784.30425,86,8874.424183,88,-2258.371536,604.5290836,2.289838104,3.27898946,1.803963444,0.3248719168,3.111862602,19592.45091,84,17974.63934,88,4312.37442,26782.77117,12.94411222,2.755450583,3.075822737,-0.471318661,8.003310149,Training
2704.503032,100,925.6206787,96,-3539.778936,1281.110284,1.195099607,1.149383299,1.523605797,-0.02218189443,0.8009259909,7218.973877,96,13565.36486,94,5827.736801,7702.680114,7.707675449,7.493567045,0.598142281,-0.0392126514,3.808200438,Training
54375.24971,102,54294.32255,102,2453.71008,7401.880498,2.87189889,3.050879924,0.6584025794,0.05265367058,0.8944963997,113576.3685,116,84910.83819,116,21678.71883,36746.29198,2.575288214,2.679015454,0.5391140058,0.0266579012,0.410710484,Training
15383.71133,122,18285.95623,90,-995.8777121,32417.8232,3.100666022,1.711810213,0.2573193314,-0.2990360996,3.601967934,-11350.74502,102,11383.76838,130,9100.670674,-11573.83772,8.427420889,4.572628293,0.9725027784,-0.3546761716,1.81728142,Training
6970.294052,74,3004.149209,102,-1827.079634,-4121.405019,0.4226295268,0.3765454729,3.049900814,-0.008206379273,0.2322464578,3224.791483,96,3373.087024,96,-3200.681114,-2196.764876,1.752396221,1.681450445,1.185449147,-0.003245422574,0.8850021838,Training
14471.32456,104,11148.40037,104,5425.493014,3381.947072,17.03513754,16.61532601,0.2597366993,0.0003755020804,1.415828642,-2865.037378,100,3023.209127,126,3264.723792,-6674.361161,24.38035488,3.552547319,0.4514373832,-0.6720094899,0.902083683,Training
5717.579211,104,6251.225579,104,-4546.952296,-5053.541582,1.857070503,1.939330588,0.8814396008,0.04509493101,0.8598133366,13660.38825,118,14666.30624,118,7266.961179,6116.518957,1.481199808,1.542328007,1.283052614,0.032323527,1.213485614,Training
31103.02828,92,29581.45944,130,12368.7513,7786.822078,4.116926416,4.677005595,0.539371386,0.09914467484,1.311362211,15503.71381,104,16225.64471,104,-6296.473305,-5555.618147,1.714280361,1.70603192,0.8687665658,0.02716789914,0.543185829,Training
21273.13503,96,17813.35148,96,-1282.153295,-1408.962966,1.068275289,0.8783348365,1.156157896,-0.0847772549,0.1309221857,28832.01665,78,28084.24054,78,4643.365736,2135.037195,3.773929404,8.078983457,0.6094469278,0.3905759065,1.732975436,Training
53062.52081,120,233255.0872,120,384246.5447,234436.2897,0.7419353995,0.7446963185,3.048093799,-0.02572944809,1.22975263,-1160.452288,124,2073.470923,126,6049.369711,-2873.905369,8.665043288,9.53757467,0.3880379412,0.01512663319,1.900679339,Training
16928.60688,94,29443.16973,94,2863.5919,-8309.140111,4.062482237,0.8184140556,0.4949531098,-0.657968888,1.27355402,-14155.59399,76,-22278.35548,130,-21483.75667,-12233.19065,2.601003561,1.227183011,0.5518350111,-0.3216020825,0.4252744145,Training
-13341.96178,102,-8254.994166,102,-913.459504,-6623.797964,0.5283149635,0.8324429224,2.299215957,0.09640390889,0.4840957583,9583.351988,128,13416.86795,128,5814.720628,6275.471214,1.47691859,1.800927501,0.7241141441,0.09462469138,0.4344666816,Training
8017.48957,116,9281.239219,116,-1901.982554,945.2861341,3.457556933,2.916343296,2.837955361,-0.1191409349,0.1186875939,14209.158,128,13830.44236,128,10816.33469,4332.017812,5.334875366,5.723463344,0.4908319065,0.03292103068,0.9150365105,Training
22359.80198,120,27318.58649,120,1770.284069,978.415295,2.709475885,2.192768704,0.5523393685,-0.05443453206,0.39607884,23456.72227,106,19817.84375,106,17630.28989,27786.00334,3.428551797,9.843650085,1.997372413,0.4951744323,12.2298478,Training
,,-10601.92413,126,-6424.669063,-723.031314,13.20891426,11.16429001,0.4054602597,-0.09753907096,0.8460534405,3707.322111,114,9027.091853,112,3273.500666,-4626.590148,3.646810886,2.331178505,0.1813134259,-0.1621706958,1.410877907,Training
-3412.217963,122,-6025.880023,124,2985.432717,-12238.20931,11.08517326,7.308819011,0.7807663245,-0.3235326179,17.23207293,23338.60938,106,9922.879039,112,-4153.455382,543.9607606,4.169856585,13.14042309,1.474272912,0.5099377103,3.833353309,Training
10589.60317,74,,,503.8427422,1165.418735,5.848817623,4.942952537,1.377943355,0.09444764769,8.382863082,17466.79908,92,18065.71622,92,15501.22462,16258.85614,1.037160622,4.57133772,0.4237289264,0.6512369142,0.9823329935,Training
24553.79415,92,20167.91379,92,-4177.996317,3103.901422,1.95252565,2.337166261,1.245663097,0.1636950228,1.574309228,98357.06924,104,40299.72663,102,707.3312372,8124.245421,5.898720213,9.047835292,1.708768863,0.2870966902,10.3251606,Training
